underlying_symbol,avg_spread,tot_volume,num_opt,analysis_date,expiration,implied_forward,bid_swap_rate,ask_swap_rate,mid_swap_rate,put_delta,call_delta,put_strike,call_strike,put_bid,call_bid,garch_forecast,vol_prem
RSX,0.054000000000000006,366,5,2019-02-15,2019-03-15,20.157,0.203329097756014,0.22434247258931245,0.21409374932697256,0.09616566560196615,0.2752007319903826,18,21,0.07,0.19,0.2458191919682036,-0.042490094212189605
SIX,0.1,5208,10,2019-02-15,2019-03-15,55.005,0.311374940464808,0.33922484285651733,0.3255977944953648,0.07407957873554238,0.0889455414618664,47.5,62.5,0.15,0.15,0.4619258186710661,-0.15055087820625807
SLB,0.02571428571428571,54230,7,2019-02-15,2019-03-15,44.24,0.2658846256836109,0.2771018494141139,0.27155116380125877,0.10927454185210506,0.049732210334457516,40,50,0.19,0.06,0.3218108009002686,-0.055926175216657714
SO,0.07285714285714287,464,7,2019-02-15,2019-03-15,48.86,0.1360795242837834,0.15428923593151236,0.14546959347855254,0.07102585145851614,0.26648722485866455,45,50,0.06,0.26,0.13793103313421654,-0.0018515088504331423
SPXS,0.09666666666666668,481,15,2019-02-15,2019-03-15,23.080000000000002,0.405209210153889,0.4491515843635001,0.4277450465696715,0.15862288335093855,0.11054507047895162,21,29,0.15,0.15,0.3725784676763876,0.03263074247750142
STX,0.04333333333333335,380,9,2019-02-15,2019-03-15,45.871,0.3321829600846168,0.35012918251291336,0.34127405660095167,0.09899135399719938,0.06534864850033006,40,52.5,0.23,0.08,0.4111534306505613,-0.07897047056594453
SYF,0.0875,120,8,2019-02-15,2019-03-15,30.915,0.24423825345960945,0.27930400046603315,0.2623576272279217,0.060425846694652785,0.11291298892214374,27,34,0.05,0.1,0.29114286602118233,-0.046904612561572884
TAL,0.1,218,12,2019-02-15,2019-03-15,32.824999999999996,0.35420356143760795,0.39193959669726874,0.37354839739604223,0.08081355502797849,0.07289893493553923,28,38,0.1,0.05,0.2478757760589879,0.10632778537862006
TNA,0.09451612903225809,254,31,2019-02-15,2019-03-15,62.425999999999995,0.49482966211583584,0.5199238271299235,0.5075318613284779,0.07778787197882564,0.16686540785199694,49,70,0.4,0.54,0.4508968891580653,0.04393277295777054
TSM,0.09285714285714286,78,7,2019-02-15,2019-03-15,38.13,0.19347797348156417,0.21795727289177239,0.20608141477211306,0.10989037867470486,0.10137695939463232,35,41,0.1,0.05,0.2614921674953765,-0.06801419401381234
TWTR,0.02727272727272728,11884,22,2019-02-15,2019-03-15,31.028,0.4100210748002169,0.4256329444746174,0.4178999193601608,0.07944024264233795,0.05795187008844088,26,37,0.15,0.07,0.5264664654029345,-0.11644539060271764
